SMILES descriptor 1,logCond60
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.07$95.2$37.0$-3$S_1,-5.72
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.2$95.2$37.0$-20$S_1,-5.19
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.45$95.2$37.0$-33$S_1,-4.81
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.2$95.2$37.0$-62$S_1,-4.25
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.06$95.2$37.0$-14$S_1,-5.56
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.15$95.2$37.0$-20$S_1,-5.33
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.33$95.2$37.0$-33$S_1,-5.23
*COC(=O)OC*.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F$0.89$95.2$37.0$-39$S_1,-4.88
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.17$95.2$37.0$-23$S_1,-6.51
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.36$95.2$37.0$-29$S_1,-5.24
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.54$95.2$37.0$-47$S_1,-5.08
*COC(=O)OC*.*CCO*$F[B-](F)(F)F$0.73$95.2$37.0$-69$S_1,-4.34
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$0.2$95.2$37.0$-8$S_1,-5.3
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$0.54$95.2$37.0$-28$S_1,-5.1
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$1.21$95.2$37.0$-1$S_1,-5.64
*COC(=O)OC*.*CCO*$[O-][Cl+3]([O-])([O-])[O-]$3.23$95.2$37.0$2$S_1,-6.57
*COC(=O)OC*.*CCO*$O=S(=O)([O-])C(F)(F)F$0.14$95.2$37.0$-7$S_1,-5.8
*COC(=O)OC*.*CCO*$O=S(=O)([O-])C(F)(F)F$0.37$95.2$37.0$-16$S_1,-5.2
*COC(=O)OC*.*CCO*$O=S(=O)([O-])C(F)(F)F$0.83$95.2$37.0$-7$S_1,-6.7
*COC(=O)OC(*)COCCCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$100.0$20.0$-24$S_1,-4.038483989
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.2$100.0$50.0$34$S_1,-3.73196055
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.4$100.0$50.0$31$S_1,-3.73196055
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.6$100.0$50.0$29$S_1,-3.115244274
*COC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.8$100.0$50.0$25$S_1,-2.757906016
*CC(*)C#N.*CC(*)C(=O)OCCCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.2$67.0$65.0$-22$S_1,-4.6409
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$100.0$17.0$-20$S_1,-5.946921557
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.25$100.0$17.0$-20$S_1,-5.37675071
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.5$100.0$17.0$-20$S_1,-4.246416941
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.0$100.0$17.0$-20$S_1,-4.033389013
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$2.0$100.0$17.0$-20$S_1,-3.675717545
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$4.0$100.0$17.0$-15$S_1,-3.68613278
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.1$100.0$17.0$-15$S_1,-6.136082623
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.3$100.0$17.0$-15$S_1,-6.136082623
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.5$100.0$17.0$-20$S_1,-6.449771647
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.7$100.0$17.0$-15$S_1,-6.504455662
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$1.0$100.0$17.0$-25$S_1,-6.982966661
*CC[Si](C)(C*)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$2.0$100.0$17.0$-15$S_1,-7.159266765
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.25$100.0$90.0$-10$S_1,-6.54668166
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.5$100.0$90.0$0$S_1,-5.501689446
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.0$100.0$90.0$-5$S_1,-4.567030709
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$2.0$100.0$90.0$-20$S_1,-3.617982957
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$4.0$100.0$90.0$-25$S_1,-3.269217724
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.1$100.0$90.0$-10$S_1,-6.302770657
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.3$100.0$90.0$0$S_1,-5.100179498
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.4$100.0$90.0$-5$S_1,-4.954677021
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$0.7$100.0$90.0$-5$S_1,-4.924453039
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$1.0$100.0$90.0$-5$S_1,-5.804100348
*CC[Si](C*)(CCC1COC(=O)O1)CCC1COC(=O)O1$O=S(=O)([O-])C(F)(F)F$2.0$100.0$90.0$-5$S_1,-6.013676223
*CCCCC(=O)OC*.*CCOC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$80.0$257.0$-50$S_1,-3.982966661
*CCCCC(=O)OC*.*CCOC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.15$80.0$257.0$-40$S_1,-3.55129368
*CCCCC(=O)OC*.*CCOC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.22$80.0$257.0$-36$S_1,-3.488116639
*CCCCC(=O)OC*.*CCOC(=O)OC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.31$80.0$257.0$-38$S_1,-4.022276395
*COC(=O)CC(=O)OC*$O=S(=O)([O-])C(F)(F)F$0.03$100.0$2.0$-13$S_1,-4.799718968
*COC(=O)CC(=O)OC*$O=S(=O)([O-])C(F)(F)F$0.06$100.0$2.0$-8$S_1,-4.63172428
*COC(=O)CC(=O)OC*$O=S(=O)([O-])C(F)(F)F$0.12$100.0$2.0$-5$S_1,-4.788887845
*COC(=O)CC(=O)OC*$O=S(=O)([O-])C(F)(F)F$0.25$100.0$2.0$-3$S_1,-4.976589913
*COC(=O)CC(=O)OC*$O=S(=O)([O-])C(F)(F)F$0.5$100.0$2.0$16$S_1,-5.572467833
*COC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.01$100.0$10.0$-41$S_1,-5.047609011
*COC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.03$100.0$10.0$-38$S_1,-4.117827621
*COC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.04$100.0$10.0$-33$S_1,-3.705147886
*COC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.09$100.0$10.0$-28$S_1,-3.560201203
*COC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.15$100.0$10.0$-18$S_1,-3.599487034
*COC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.21$100.0$10.0$-7$S_1,-3.821328683
*COC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.35$100.0$10.0$-8$S_1,-4.451206782
*CCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.03$100.0$12.0$-49$S_1,-4.0730617
*CCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.05$100.0$12.0$-46$S_1,-3.668629327
*CCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.11$100.0$12.0$-42$S_1,-3.42999049
*CCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.24$100.0$12.0$-32$S_1,-3.69654523
*CCCCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.03$100.0$3.0$-54$S_1,-4.193455555
*CCCCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.06$100.0$3.0$-49$S_1,-3.762938561
*CCCCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.12$100.0$3.0$-42$S_1,-3.462945651
*CCCCCOC(=O)CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.27$100.0$3.0$-37$S_1,-3.502306134
*CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.03$100.0$65.0$-55$S_1,-4.607458953
*CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.06$100.0$65.0$-50$S_1,-3.954548137
*CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.12$100.0$65.0$-46$S_1,-3.570107735
*CCCCC(=O)OC*$[O-][Cl+3]([O-])([O-])[O-]$0.27$100.0$65.0$-28$S_1,-3.926513004
*COC(=O)CCCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$8.0$-25$S_1,-5.588780008
*COC(=O)CCCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$8.0$-21$S_1,-4.755114516
*COC(=O)CCCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$100.0$8.0$-19$S_1,-4.62904256
*COC(=O)CCCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$100.0$8.0$-16$S_1,-4.66122281
*COC(=O)CCCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$100.0$8.0$-12$S_1,-4.785257582
*COC(=O)CCCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.14$100.0$8.0$-9$S_1,-4.813752317
*COC(=O)COCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$6.0$14$S_1,-6.539097932
*COC(=O)COCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$100.0$6.0$18$S_1,-6.38075676
*COC(=O)COCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$6.0$19$S_1,-5.951441712
*COC(=O)COCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$6.0$22$S_1,-5.891551102
*COC(=O)COCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.07$100.0$6.0$26$S_1,-5.909080719
*COC(=O)COCC(=O)OC(*)C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.09$100.0$6.0$31$S_1,-6.534425323
*COC(=O)CCCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$10.0$-40$S_2,-5.151567228
*COC(=O)CCCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$100.0$10.0$-35$S_2,-4.810132698
*COC(=O)CCCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$10.0$-34$S_2,-4.67520887
*COC(=O)CCCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$10.0$-30$S_2,-4.507251708
*COC(=O)CCCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.07$100.0$10.0$-26$S_2,-4.484513804
*COC(=O)CCCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.09$100.0$10.0$-23$S_2,-4.610508632
*COC(=O)COCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.0$100.0$8.0$-13$S_2,-5.256906424
*COC(=O)COCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$100.0$8.0$-9$S_2,-4.895870094
*COC(=O)COCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$100.0$8.0$-6$S_2,-4.821788801
*COC(=O)COCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$8.0$-3$S_2,-4.688594864
*COC(=O)COCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$8.0$0$S_2,-4.599761809
*COC(=O)COCC(=O)OC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.07$100.0$8.0$4$S_2,-4.948854422
*COC(=O)CCC(=O)OC*$N#C[S-]$0.04$100.0$23.0$-3$S_1,-7.693177742
*COC(=O)CCCCCCCCC(=O)OC*$N#C[S-]$0.04$100.0$33.0$-37$S_1,-7.384470596
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$1.0$100.0$47.0$24$S_1,-5.658
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.67$100.0$47.0$35$S_1,-5.683
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.33$100.0$47.0$32$S_1,-4.59
*C1C(*)N(C(C)=O)C(=O)N1C(C)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.11$100.0$47.0$39$S_1,-7.344
*CC(*)(C)C#N$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.5$100.0$170.0$80$S_1,-5.182529456
*CC(*)(C)C#N$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.33$100.0$170.0$80$S_1,-6.728347089
*CC(*)(C)C#N$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.17$100.0$170.0$80$S_1,-6.690203809
*CC(*)(C)C#N$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$100.0$170.0$80$S_1,-6.242537778
*CC(*)(C)C#N$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$100.0$170.0$80$S_1,-6.735953645
*CC(*)(C)C#N$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$100.0$170.0$80$S_1,-6.997216472
*CN(C*)CCC#N$O=S(=O)([O-])C(F)(F)F$0.1$100.0$190.0$-36$S_1,-4.830599842
*CC(*)O.*CC(*)OC(C)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.25$98.0$125000.0$58$S_1,-6.403909826
*CC(*)O.*CC(*)OC(C)=O$O=S(=O)([O-])C(F)(F)F$0.25$98.0$125000.0$67$S_1,-7.23847389
*CC(*)O.*CC(*)OC(C)=O$[O-][Cl+3]([O-])([O-])[O-]$0.25$98.0$125000.0$41$S_1,-7.459811029
*CC(*)O.*CC(*)OC(C)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.25$98.0$125000.0$59$S_1,-7.116898221
*CNC*$O=S(=O)([O-])C(F)(F)F$0.07$100.0$122664.0$-17$S_1,-5.541342791
*CNC*$O=S(=O)([O-])C(F)(F)F$0.1$100.0$122664.0$-10$S_1,-6.003892002
*CNC*$[O-][Cl+3]([O-])([O-])[O-]$0.07$100.0$122664.0$-15$S_1,-5.633429112
*CNC*$[O-][Cl+3]([O-])([O-])[O-]$0.1$100.0$122664.0$0$S_1,-6.379373023
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.06$100.0$162707.0$-42$S_1,-6.017038874
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.1$100.0$162707.0$-33$S_1,-5.971895376
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.17$100.0$162707.0$4$S_1,-7.030151148
*CN(C)C*$[O-][Cl+3]([O-])([O-])[O-]$0.07$100.0$162707.0$-53$S_1,-6.497145169
*CN(C)C*$[O-][Cl+3]([O-])([O-])[O-]$0.1$100.0$162707.0$-20$S_1,-7.591916938
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.04$100.0$50.0$-36$S_2,-4.872981847
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.05$100.0$50.0$-31$S_2,-4.470348068
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.06$100.0$50.0$-30$S_2,-4.55151118
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.07$100.0$50.0$-24$S_2,-5.082716375
*CN(C)C*$O=S(=O)([O-])C(F)(F)F$0.12$100.0$50.0$-5$S_2,-6.028903531
*CN(C)C*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.0$100.0$10.0$-61$S_2,-4.971466005
*CN(C)C*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.0$100.0$10.0$-61$S_2,-4.885211587
*CN(C)C*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$10.0$-63$S_2,-4.513827281
*CN(C)C*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$100.0$10.0$-61$S_2,-4.378016645
*CN(C)C*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$10.0$-52$S_2,-4.3904622
*CN(C)C*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$100.0$10.0$-45$S_2,-5.060487918
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.14$100.0$9.0$156$S_1,-5.430717876
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.32$100.0$9.0$167$S_1,-5.455759599
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.56$100.0$9.0$171$S_1,-4.838063439
