SMILES descriptor 1,logCond60
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.83$100.0$9.0$193$S_1,-2.475792988
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.14$100.0$2.0$150$S_1,-7.033898305
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.32$100.0$2.0$155$S_1,-5.55932
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.56$100.0$2.0$207$S_1,-4.9661
*Cc1c(C)c(C)c(COCP(=S)(CO*)Cc2ccccc2)c(C)c1C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.83$100.0$2.0$210$S_1,-4.20339
*CC(*)c1ccc(NC(=O)Cc2c(OC)cccc2OC)cc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.67$100.0$390.0$164$S_2,-4.26760624
*COC(*)COCCCSCCCC(=O)NCCn1ccnc1.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$17.0$41204.0$-32$S_2,-5.15563935
*COC(*)COCCCSCCCC(=O)NCCn1ccnc1.*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$17.0$41204.0$-33$S_2,-5.206566454
*COC(*)COCCCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$25610.0$-11$S_2,-5.900290018
*COC(*)COCCCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$100.0$25610.0$-4$S_2,-6.033489785
*COC(*)COCCCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$100.0$25610.0$-1$S_2,-6.091671913
*CC(*)CCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$56286.0$11$S_2,-7.385200563
*CC(*)CCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$56286.0$24$S_2,-7.763101501
*CC(*)CCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$100.0$56286.0$39$S_2,-9.001342017
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$110943.0$-6$S_2,-6.446174023
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$110943.0$-3$S_2,-6.35849502
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$100.0$110943.0$0$S_2,-6.332222661
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$105215.0$-7$S_2,-6.18219514
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.07$71.0$89174.0$-4$S_2,-6.076827721
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$71.0$89174.0$-11$S_2,-6.018583549
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$49.0$76944.0$-11$S_2,-5.780312544
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$49.0$76944.0$-19$S_2,-5.748539723
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.15$33.0$67872.0$-19$S_2,-5.802771871
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$33.0$67872.0$-28$S_2,-5.683259062
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.17$29.0$65856.0$-20$S_2,-5.860155071
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.25$20.0$60816.0$-31$S_2,-5.8161068
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$7.0$53625.0$-80$S_2,-6.153247929
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.36$7.0$53625.0$-81$S_2,-6.369167275
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.71$7.0$53625.0$-65$S_2,-6.272678861
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCCCCCCCc1ccccc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.07$72.0$67760.0$-13$S_2,-5.971409957
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCCCCCCCc1ccccc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$40.0$66440.0$-36$S_2,-6.094302457
*O[Si](*)(C)CCSCCCC(=O)NCCn1ccnc1.*O[Si](*)(C)CCSCCCCCCCc1ccccc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.36$14.0$65340.0$-62$S_2,-6.697991434
*O[Si](*)(C)CCSCCCCCCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$100.0$65340.0$-22$S_2,-5.185554223
*O[Si](*)(C)CCSCCCCCCCn1ccnc1$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.3$100.0$65340.0$7$S_2,-5.791297391
*CCO*$F[P-](F)(F)(F)(F)F$0.01$100.0$4000.0$-54$S_1,-6.4715
*CCO*$F[P-](F)(F)(F)(F)F$0.02$100.0$4000.0$-50$S_1,-6.4976
*CCO*$F[P-](F)(F)(F)(F)F$0.03$100.0$4000.0$-51$S_1,-6.5604
*CCO*$F[P-](F)(F)(F)(F)F$0.03$100.0$4000.0$-49$S_1,-4.2961
*CCO*$F[P-](F)(F)(F)(F)F$0.05$100.0$4000.0$-45$S_1,-6.1124
*CCO*$F[P-](F)(F)(F)(F)F$0.06$100.0$4000.0$-44$S_1,-6.6565
*CCO*$F[P-](F)(F)(F)(F)F$0.08$100.0$4000.0$-43$S_1,-6.3816
*CCO*$O=S(=O)(F)[N-]S(=O)(=O)F$0.05$100.0$500.0$-45$S_1,-3.97027712
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$500.0$-36$S_1,-3.558843312
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.0$100.0$4.0$-66$S_1,-4.49757288
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$4.0$-65$S_1,-3.935542011
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$4.0$-64$S_1,-3.772113295
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$4.0$-63$S_1,-3.694648631
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$100.0$4.0$-62$S_1,-3.552841969
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$100.0$4.0$-61$S_1,-3.403402904
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$100.0$4.0$-58$S_1,-3.26760624
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$4.0$-56$S_1,-3.229147988
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$100.0$4.0$-50$S_1,-3.214670165
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.09$100.0$4.0$-43$S_1,-3.283996656
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$100.0$4.0$-36$S_1,-3.386158178
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.17$100.0$4.0$-29$S_1,-3.48945499
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.2$100.0$4.0$-25$S_1,-4.036212173
*CCO*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.25$100.0$4.0$-19$S_1,-4.283996656
*CCO*$COCCC[N-]S(=O)(=O)C(F)(F)F$0.02$100.0$4.0$-62$S_1,-4.510041521
*CCO*$COCCC[N-]S(=O)(=O)C(F)(F)F$0.03$100.0$4.0$-60$S_1,-4.214670165
*CCO*$COCCC[N-]S(=O)(=O)C(F)(F)F$0.05$100.0$4.0$-58$S_1,-4.124938737
*CCO*$COCCC[N-]S(=O)(=O)C(F)(F)F$0.06$100.0$4.0$-56$S_1,-4.065501549
*CCO*$COCCC[N-]S(=O)(=O)C(F)(F)F$0.08$100.0$4.0$-53$S_1,-4.102372909
*CCO*$COCCC[N-]S(=O)(=O)C(F)(F)F$0.1$100.0$4.0$-53$S_1,-4.167491087
*CCO*$O=S(=O)([O-])C(F)(F)F$0.08$100.0$13.0$-42$S_1,-4.3947
*CCO*$O=S(=O)([O-])C(F)(F)F$0.12$100.0$13.0$-42$S_1,-4.4551
*CCO*$O=S(=O)([O-])C(F)(F)F$0.08$100.0$20.0$-49$S_1,-4.3444
*CCO*$[O-][Cl+3]([O-])([O-])[O-]$0.11$100.0$22.0$-24$S_1,-4.768784859
*CCO*.*COC(*)C$[O-][Cl+3]([O-])([O-])[O-]$0.11$76.5$10.0$-23$S_1,-5.13199965
*CCO*.*COC(*)C$[O-][Cl+3]([O-])([O-])[O-]$0.11$47.0$5.0$-7$S_1,-5.721042882
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$95.0$4000.0$-51$S_2,-4.017859268
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$95.0$4000.0$-47$S_2,-3.835551263
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$95.0$4000.0$-44$S_2,-3.611496413
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$95.0$4000.0$-43$S_2,-3.617969947
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$91.0$277.0$-55$S_2,-3.460792874
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$91.0$277.0$-52$S_2,-3.408930907
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$91.0$277.0$-45$S_2,-3.27768157
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$91.0$277.0$-39$S_2,-3.21161654
*CCO*.*COC(*)COCCOCCOC$[O-][Cl+3]([O-])([O-])[O-]$0.02$91.0$277.0$-51$S_2,-3.610818838
*CCO*.*COC(*)COCCOCCOC$[O-][Cl+3]([O-])([O-])[O-]$0.04$91.0$277.0$-46$S_2,-3.346435504
*CCO*.*COC(*)COCCOCCOC$[O-][Cl+3]([O-])([O-])[O-]$0.06$91.0$277.0$-37$S_2,-3.498306692
*CCO*.*COC(*)COCCOCCOC$[O-][Cl+3]([O-])([O-])[O-]$0.08$91.0$277.0$-23$S_2,-3.821350999
*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.01$100.0$12.0$-75$S_1,-4.849959018
*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.02$100.0$12.0$-73$S_1,-4.455315869
*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$100.0$12.0$-72$S_1,-4.197144058
*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$100.0$12.0$-67$S_1,-3.899042599
*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$100.0$12.0$-58$S_1,-3.718439756
*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.1$100.0$12.0$-49$S_1,-3.714276869
*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$12.0$-78$S_1,-3.91699886
*CCO*.*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$89.7$29.0$-69$S_1,-3.471924785
*CCO*.*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$80.2$15.0$-71$S_1,-3.609537571
*CCO*.*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$76.7$7.0$-69$S_1,-3.652058988
*CCO*.*COC(*)COCC=C$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.04$54.9$17.0$-73$S_1,-3.803559545
*CC(*)(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC$O=S(=O)([O-])C(F)(F)F$0.2$100.0$300.0$-25$S_2,-4.890328737
*COCCOCCOCCOCCOCCOCCOCCOCCOCOC*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$100.0$50.0$-50$S_1,-3.681736599
*CN(CCOC)C(*)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.09$100.0$2.0$52$S_2,-6.574593418
*CN(CCOCCOC)C(*)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.09$100.0$3.0$9$S_2,-4.822384778
*CN(CCOCCOCCOC)C(*)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.09$100.0$4.0$-2$S_2,-4.53153355
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$50.0$37.0$40$S_2,-6.93162364
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$50.0$37.0$34$S_2,-6.424478697
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$50.0$37.0$31$S_2,-7.084322107
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$37.0$29$S_2,-6.655352166
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$50.0$19.0$21$S_2,-6.010850752
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$50.0$19.0$8$S_2,-5.756176322
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$50.0$19.0$8$S_2,-6.279968984
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$19.0$0$S_2,-6.111465606
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$50.0$18.0$-17$S_2,-4.901888108
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$50.0$18.0$-20$S_2,-5.029106919
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$50.0$18.0$-22$S_2,-5.029119303
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$18.0$-25$S_2,-4.966118865
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$50.0$7.0$-26$S_2,-4.428192809
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$50.0$7.0$-27$S_2,-4.477191173
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$50.0$7.0$-31$S_2,-4.304358931
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$7.0$-37$S_2,-4.375192379
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$50.0$8.0$-18$S_2,-4.195436525
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$50.0$8.0$-31$S_2,-3.772680721
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$50.0$8.0$-35$S_2,-3.629527631
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$8.0$-39$S_2,-3.807212738
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$50.0$7.0$-29$S_2,-3.969291168
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$50.0$7.0$-36$S_2,-3.732945182
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$50.0$7.0$-43$S_2,-3.695438776
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$7.0$-47$S_2,-3.66205309
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.12$50.0$7.0$-27$S_2,-3.710677434
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.08$50.0$7.0$-40$S_2,-3.49429521
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.06$50.0$7.0$-44$S_2,-3.131450171
*CC(*)OCCOCCOC.*C1OC(=O)OC1*$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$7.0$-48$S_2,-3.301688787
*COC(*)COC(C)(C)C.*OC(*)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$44.0$18$S_2,-7.51533429
*COC(*)COCCCC.*OC(*)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.05$50.0$190.0$-20$S_2,-5.836820328
*COC(*)COCCOC.*OC(*)=O$O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F$0.03$50.0$17.0$-55$S_2,-4.528742245
*CCO*.*COC(*)COC$O=S(=O)([O-])C(F)(F)F$0.06$78.3$1000.0$-68$S_2,-4.771455143
*CCO*.*COC(*)COCCOCC$O=S(=O)([O-])C(F)(F)F$0.06$82.94$1000.0$-53$S_2,-4.613009445
*CCO*.*COC(*)COCCOCCOC$O=S(=O)([O-])C(F)(F)F$0.06$71.15$1000.0$-77$S_2,-4.013896227
